group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
18-44,586,0.08361774744027303,0.9209516208718124,0.02898148855089238,0.018634087646979033,0.05129972797747723,age_band,xgb,temperature,2
45-64,1573,0.12015257469802924,0.8921957671957673,0.01275115554794239,0.011440200339387557,0.02838699601145966,age_band,xgb,temperature,2
65-79,1622,0.13563501849568435,0.8980774218648685,0.017160536254257716,0.012344627014589498,0.03254240255085139,age_band,xgb,temperature,2
80+,891,0.18518518518518517,0.8355455380248767,0.02268114278271213,0.01882479015386997,0.05468284868084674,age_band,xgb,temperature,2
F,2012,0.14463220675944333,0.8798189336895555,0.016652132759418816,0.010916098501036886,0.030112283248078544,sex,xgb,temperature,2
M,2660,0.12481203007518797,0.8925198215542582,0.00657907290714992,0.00809190828932621,0.022965420560845055,sex,xgb,temperature,2
Asian,149,0.10738255033557047,0.8721804511278195,0.045479728984311046,0.033362490254273416,0.09423469415066692,ethnicity_group,xgb,temperature,2
Black,395,0.11139240506329114,0.9338901838901839,0.04346547409464034,0.0281224007934367,0.0663039617325598,ethnicity_group,xgb,temperature,2
Hispanic,143,0.1048951048951049,0.9125,0.051179800166793216,0.031417543644107766,0.09497781003172226,ethnicity_group,xgb,temperature,2
Other,985,0.1746192893401015,0.881060671071827,0.02799191797415613,0.020542101923163816,0.0515070734776804,ethnicity_group,xgb,temperature,2
White,3000,0.12533333333333332,0.881816173131811,0.006259746213981026,0.007002951341153773,0.01933736716556364,ethnicity_group,xgb,temperature,2
Medicaid,651,0.11674347158218126,0.8584897025171625,0.032131360695229705,0.02408680417691344,0.059988984506984665,insurance_group,xgb,temperature,2
Medicare,2579,0.15393563396665375,0.8712490793693306,0.015769259805966034,0.010745135501740997,0.027231339168178288,insurance_group,xgb,temperature,2
Other,1442,0.10402219140083217,0.925407636738906,0.020618270857597452,0.011458690983765663,0.03393089034645927,insurance_group,xgb,temperature,2
18-44,586,0.08361774744027303,0.9202295443316991,0.024297927109820677,0.015233449796394677,0.046912978082204224,age_band,mlp,none,2
45-64,1573,0.12015257469802924,0.8835003975899928,0.021691946197645785,0.014084750827924548,0.03418315853924474,age_band,mlp,none,2
65-79,1622,0.13563501849568435,0.8853164310724938,0.011498921873574907,0.010562757784035742,0.029969834204709736,age_band,mlp,none,2
80+,891,0.18518518518518517,0.821763085399449,0.03559594237060369,0.02846341948766563,0.0646689503571712,age_band,mlp,none,2
F,2012,0.14463220675944333,0.8706498060146443,0.020501570999749863,0.015225190357999742,0.03382755708650861,sex,mlp,none,2
M,2660,0.12481203007518797,0.8822157185442802,0.0171418620390279,0.011504423301825505,0.029994152399620777,sex,mlp,none,2
Asian,149,0.10738255033557047,0.9060150375939848,0.04508897175279136,0.022820674703755216,0.09330600710339249,ethnicity_group,mlp,none,2
Black,395,0.11139240506329114,0.906047656047656,0.030136536008795203,0.018200877994433585,0.05947240686169362,ethnicity_group,mlp,none,2
Hispanic,143,0.1048951048951049,0.9151041666666666,0.040837048031447075,0.023371855822840164,0.08592939061987583,ethnicity_group,mlp,none,2
Other,985,0.1746192893401015,0.875961841013759,0.03377069448838168,0.021458307617974744,0.0546822551788748,ethnicity_group,mlp,none,2
White,3000,0.12533333333333332,0.8688056442981317,0.01886709803490717,0.012641009994841619,0.030561253359193734,ethnicity_group,mlp,none,2
Medicaid,651,0.11674347158218126,0.8568878718535469,0.0450414654200913,0.030565666093157244,0.06816266404133602,insurance_group,mlp,none,2
Medicare,2579,0.15393563396665375,0.8606297921856638,0.0240871861010499,0.016642661424802665,0.0384989969963412,insurance_group,mlp,none,2
Other,1442,0.10402219140083217,0.9128998968008255,0.012767667469050316,0.009821198237716593,0.02561011335074486,insurance_group,mlp,none,2
18-44,586,0.08361774744027303,0.9202295443316991,0.034595496932504896,0.0234237905597722,0.05560997544001509,age_band,mlp,temperature,2
45-64,1573,0.12015257469802924,0.8835003975899928,0.01988222143004735,0.012270721304753611,0.03509772707636323,age_band,mlp,temperature,2
65-79,1622,0.13563501849568435,0.8853164310724938,0.019620901952495686,0.013606313496986584,0.03476311405481952,age_band,mlp,temperature,2
80+,891,0.18518518518518517,0.821763085399449,0.015783102369517577,0.01852101597014907,0.051299960597343944,age_band,mlp,temperature,2
F,2012,0.14463220675944333,0.8706498060146443,0.013700444017428752,0.011749612191057576,0.03091302522935423,sex,mlp,temperature,2
M,2660,0.12481203007518797,0.8822157185442802,0.018099588705254036,0.012435374872481883,0.029641174887670752,sex,mlp,temperature,2
Asian,149,0.10738255033557047,0.9060150375939848,0.048082528430491794,0.03628796822827572,0.10042430054141994,ethnicity_group,mlp,temperature,2
Black,395,0.11139240506329114,0.906047656047656,0.037035183070966836,0.026388326755980362,0.06768281551110633,ethnicity_group,mlp,temperature,2
Hispanic,143,0.1048951048951049,0.9151041666666666,0.05337348131638957,0.03283811329332674,0.09577934983993418,ethnicity_group,mlp,temperature,2
Other,985,0.1746192893401015,0.875961841013759,0.019295006040236824,0.014990033118918267,0.04173765712026323,ethnicity_group,mlp,temperature,2
White,3000,0.12533333333333332,0.8688056442981317,0.018291303888463915,0.013857845379793616,0.03045898627731907,ethnicity_group,mlp,temperature,2
Medicaid,651,0.11674347158218126,0.856887871853547,0.04789342750847414,0.033244915555509714,0.0742097347596377,insurance_group,mlp,temperature,2
Medicare,2579,0.15393563396665375,0.8606297921856638,0.010002539536767727,0.010230353664180106,0.026292195261172612,insurance_group,mlp,temperature,2
Other,1442,0.10402219140083217,0.9128998968008255,0.016662937716624547,0.012764302854092878,0.031315334010850425,insurance_group,mlp,temperature,2
