group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
Other,1486,0.1117092866756393,0.9052026286966046,0.01684755212245046,0.011833523409763876,0.030633600351847534,insurance_group,xgb,none,1
18-44,637,0.10204081632653061,0.9260355029585798,0.027335409302175675,0.018141489522028785,0.047509455904694166,age_band,xgb,temperature,1
45-64,1630,0.11717791411042945,0.9040382173484349,0.016946898058506472,0.012707101459553147,0.031650323188604355,age_band,xgb,temperature,1
65-79,1554,0.14221364221364222,0.8923905184440907,0.022108223057562968,0.015537164168159426,0.038051033718098454,age_band,xgb,temperature,1
80+,851,0.17156286721504113,0.8241426211988729,0.01923787729297057,0.017755544618488026,0.050852378128197616,age_band,xgb,temperature,1
F,2041,0.13571778539931406,0.8894823874194684,0.010107682780710404,0.009038127190321711,0.026209946892438607,sex,xgb,temperature,1
M,2631,0.1315089319650323,0.8887302209686192,0.009542460632023169,0.008786087684564545,0.023021924913801332,sex,xgb,temperature,1
Asian,128,0.15625,0.8300925925925926,0.06534800988143362,0.041651366507390736,0.11752814194481143,ethnicity_group,xgb,temperature,1
Black,413,0.1016949152542373,0.8951995892696701,0.0303703098155821,0.022753499276064747,0.05966069150082672,ethnicity_group,xgb,temperature,1
Hispanic,176,0.07386363636363637,0.7989617744218971,0.06928010559091154,0.037931724545698306,0.10122638461557841,ethnicity_group,xgb,temperature,1
Other,975,0.19589743589743588,0.9057257719841864,0.03774661819151162,0.027544432167708344,0.06069362776144819,ethnicity_group,xgb,temperature,1
White,2980,0.1197986577181208,0.8850472709098889,0.011796696747669916,0.008545901770375335,0.023211212314489853,ethnicity_group,xgb,temperature,1
Medicaid,690,0.13478260869565217,0.9061436213324687,0.025323971122141534,0.02069822399006422,0.04936974833025025,insurance_group,xgb,temperature,1
Medicare,2496,0.14583333333333334,0.8739704245098241,0.009823153994298428,0.009640172147352962,0.025119542839876913,insurance_group,xgb,temperature,1
Other,1486,0.1117092866756393,0.9052026286966046,0.012861936690450082,0.010640804405090838,0.02787853971733888,insurance_group,xgb,temperature,1
18-44,637,0.10204081632653061,0.9245562130177515,0.026684725980023184,0.015267407455492512,0.04760343318882105,age_band,mlp,none,1
45-64,1630,0.11717791411042945,0.87952293804962,0.02122452114694893,0.013529317994004897,0.03712836743388275,age_band,mlp,none,1
65-79,1554,0.14221364221364222,0.8789007206552769,0.018112407701464616,0.011564226418371834,0.035827661093706144,age_band,mlp,none,1
80+,851,0.17156286721504113,0.8080734479743515,0.03555137565940591,0.02767758809626701,0.06384952981461706,age_band,mlp,none,1
F,2041,0.13571778539931406,0.8694344163658243,0.020319420945859052,0.013397325510846657,0.033438853062912686,sex,mlp,none,1
M,2631,0.1315089319650323,0.8737949178482438,0.018344012827604148,0.01117394845076663,0.03051682458955469,sex,mlp,none,1
Asian,128,0.15625,0.8189814814814815,0.05545113377263533,0.04455439953923701,0.12670635551610301,ethnicity_group,mlp,none,1
