model,recal,seed,auroc,auprc,brier,ece_quantile,ece_width,prevalence,n,aurc,auroc@0.8,err@0.8,true_cov@0.8,auroc@0.9,err@0.9,true_cov@0.9,auroc@0.95,err@0.95,true_cov@0.95
mlp,platt,0,0.8594112174022319,0.5360045441797262,0.08436680505544022,0.010798684165479583,0.010293040244745292,0.13334760069847107,4672,0.03283058679183896,0.8215089992174593,0.0586031576130586,0.7998715753424658,0.840499032198599,0.08135109419600381,0.8998287671232876,0.8492565309872577,0.0939612438035151,0.9499143835616438
mlp,isotonic,0,0.8577797185124282,0.5171550043669291,0.08452763607138955,0.012021807578085747,0.010256546076020927,0.13334760069847107,4672,0.03298288356385445,0.8097329374330908,0.06015831134564644,0.8112157534246576,0.8346052611482478,0.08163748225272124,0.9045376712328768,0.8474683575817326,0.09509892086330936,0.952054794520548
lr,none,1,0.8666606938201256,0.5430060217669104,0.08304594857958397,0.01833277436472127,0.011399078867371355,0.13334760069847107,4672,0.03274496819279412,0.8138896069567972,0.05432164838105432,0.7998715753424658,0.8472277227722772,0.07730732635585157,0.8998287671232876,0.8598193961902478,0.09418657052726453,0.9499143835616438
lr,temperature,1,0.8666606938201256,0.5430060217669104,0.08298537444028242,0.018597827655215456,0.014149751292092554,0.13334760069847107,4672,0.03274496819279412,0.8138896069567972,0.05432164838105432,0.7998715753424658,0.8472277227722772,0.07730732635585157,0.8998287671232876,0.8598193961902478,0.09418657052726453,0.9499143835616438
lr,platt,1,0.8666606938201256,0.5430060217669104,0.08303662831355244,0.017551820505621304,0.012932835081347965,0.13334760069847107,4672,0.03249028381058392,0.8065293565268349,0.05485683703505485,0.7998715753424658,0.8431717383923266,0.07706945765937202,0.8998287671232876,0.857430338683516,0.0939612438035151,0.9499143835616438
lr,isotonic,1,0.8640870841025686,0.5233239453737659,0.08320088047441808,0.013276781907673247,0.016778576174098944,0.13334760069847107,4672,0.031082365137753486,0.8092253641816624,0.05545187949880032,0.8028681506849316,0.8340936292695068,0.08183538315988648,0.9049657534246576,0.8527355212622607,0.09626147302440116,0.9561215753424658
xgb,none,1,0.8888317151808485,0.5943653285283752,0.07793507668630217,0.011332382570662337,0.012912179670471632,0.13334760069847107,4672,0.025326457952165465,0.858819504749875,0.04923735616804924,0.7998715753424658,0.8702942307968266,0.06898192197906755,0.8998287671232876,0.8844033638069928,0.08832807570977919,0.9499143835616438
xgb,temperature,1,0.8888317151808485,0.5943653285283752,0.07777862736742014,0.0067796719200727594,0.011768428763647053,0.13334760069847107,4672,0.025326457952165465,0.858819504749875,0.04923735616804924,0.7998715753424658,0.8702942307968266,0.06898192197906755,0.8998287671232876,0.8844033638069928,0.08832807570977919,0.9499143835616438
xgb,platt,1,0.8888317151808485,0.5943653285283752,0.07778117541651548,0.006765447198235757,0.011820611589515093,0.13334760069847107,4672,0.02532298129856076,0.8580746960115856,0.04923735616804924,0.7998715753424658,0.8702942307968266,0.06898192197906755,0.8998287671232876,0.8844033638069928,0.08810274898602974,0.9499143835616438
xgb,isotonic,1,0.8882432180111453,0.5757600052712244,0.07808111816694015,0.008948380171958627,0.011402469698880252,0.13334760069847107,4672,0.025609965767581306,0.8633435518824415,0.05885311871227364,0.851027397260274,0.8755684366427819,0.07136083451872925,0.9028253424657534,0.886633246993621,0.10065502183406114,0.9803082191780822
mlp,none,1,0.871717924129256,0.5624600708530254,0.08146391545554724,0.013511268070304061,0.015938398242409748,0.13334760069847107,4672,0.02966079140877559,0.8342677212008044,0.05405405405405406,0.7998715753424658,0.8559513109774994,0.0746907706945766,0.8998287671232876,0.8685589197068788,0.09238395673726904,0.9499143835616438
mlp,temperature,1,0.871717924129256,0.5624600708530254,0.08147717068729952,0.012087851352977071,0.01444117737335024,0.13334760069847107,4672,0.02966079140877559,0.8342677212008044,0.05405405405405406,0.7998715753424658,0.8559513109774994,0.0746907706945766,0.8998287671232876,0.8685589197068788,0.09238395673726904,0.9499143835616438
mlp,platt,1,0.871717924129256,0.5624600708530254,0.0813680129027248,0.008689128679603645,0.013415158882419205,0.13334760069847107,4672,0.02945664542937637,0.8225150451057591,0.05405405405405406,0.7998715753424658,0.8445190316360779,0.0746907706945766,0.8998287671232876,0.8628584275793776,0.09283461018476791,0.9499143835616438
mlp,isotonic,1,0.8697058544863939,0.5361707276360064,0.0816353286524912,0.010633116790350098,0.015856620105372535,0.13334760069847107,4672,0.030129470423428655,0.8191271021266288,0.05636028443508033,0.8127140410958904,0.855312030075188,0.09055745164960181,0.9407106164383562,0.8557442284444864,0.09659470287113288,0.9616866438356164
lr,none,2,0.8761020199189148,0.5481638549086317,0.08273578181947557,0.01758121471921666,0.015577656923094364,0.13334760069847107,4672,0.02981942906194115,0.8424836462742714,0.053251271073053254,0.7998715753424658,0.8641825821609974,0.07944814462416747,0.8998287671232876,0.8719440118206141,0.09373591707976565,0.9499143835616438
