model,recal,seed,coverage,model_err_kept,expert_acc,system_err
lr,temperature,1,0.7998715753424658,0.05432164838105432,0.85,0.07346960616438356
lr,temperature,1,0.8998287671232876,0.07730732635585157,0.85,0.08458904109589042
lr,temperature,1,0.9499143835616438,0.09418657052726453,0.85,0.0969820205479452
lr,temperature,1,0.7998715753424658,0.05432164838105432,0.95,0.05345676369863015
lr,temperature,1,0.8998287671232876,0.07730732635585157,0.95,0.07457191780821919
lr,temperature,1,0.9499143835616438,0.09418657052726453,0.95,0.09197345890410959
xgb,none,1,0.7998715753424658,0.04923735616804924,0.75,0.08941566780821918
xgb,none,1,0.8998287671232876,0.06898192197906755,0.75,0.08711472602739725
xgb,none,1,0.9499143835616438,0.08832807570977919,0.75,0.09642551369863013
xgb,none,1,0.7998715753424658,0.04923735616804924,0.85,0.06940282534246575
xgb,none,1,0.8998287671232876,0.06898192197906755,0.85,0.07709760273972603
xgb,none,1,0.9499143835616438,0.08832807570977919,0.85,0.09141695205479453
xgb,none,1,0.7998715753424658,0.04923735616804924,0.95,0.04938998287671234
xgb,none,1,0.8998287671232876,0.06898192197906755,0.95,0.06708047945205481
xgb,none,1,0.9499143835616438,0.08832807570977919,0.95,0.08640839041095891
xgb,temperature,1,0.7998715753424658,0.04923735616804924,0.75,0.08941566780821918
xgb,temperature,1,0.8998287671232876,0.06898192197906755,0.75,0.08711472602739725
xgb,temperature,1,0.9499143835616438,0.08832807570977919,0.75,0.09642551369863013
xgb,temperature,1,0.7998715753424658,0.04923735616804924,0.85,0.06940282534246575
xgb,temperature,1,0.8998287671232876,0.06898192197906755,0.85,0.07709760273972603
xgb,temperature,1,0.9499143835616438,0.08832807570977919,0.85,0.09141695205479453
xgb,temperature,1,0.7998715753424658,0.04923735616804924,0.95,0.04938998287671234
xgb,temperature,1,0.8998287671232876,0.06898192197906755,0.95,0.06708047945205481
xgb,temperature,1,0.9499143835616438,0.08832807570977919,0.95,0.08640839041095891
mlp,none,1,0.7998715753424658,0.05405405405405406,0.75,0.09326840753424658
mlp,none,1,0.8998287671232876,0.0746907706945766,0.75,0.09225171232876712
mlp,none,1,0.9499143835616438,0.09238395673726904,0.75,0.10027825342465753
mlp,none,1,0.7998715753424658,0.05405405405405406,0.85,0.07325556506849315
mlp,none,1,0.8998287671232876,0.0746907706945766,0.85,0.0822345890410959
mlp,none,1,0.9499143835616438,0.09238395673726904,0.85,0.09526969178082192
mlp,none,1,0.7998715753424658,0.05405405405405406,0.95,0.05324272260273974
mlp,none,1,0.8998287671232876,0.0746907706945766,0.95,0.07221746575342466
mlp,none,1,0.9499143835616438,0.09238395673726904,0.95,0.09026113013698629
mlp,temperature,1,0.7998715753424658,0.05405405405405406,0.75,0.09326840753424658
mlp,temperature,1,0.8998287671232876,0.0746907706945766,0.75,0.09225171232876712
mlp,temperature,1,0.9499143835616438,0.09238395673726904,0.75,0.10027825342465753
mlp,temperature,1,0.7998715753424658,0.05405405405405406,0.85,0.07325556506849315
mlp,temperature,1,0.8998287671232876,0.0746907706945766,0.85,0.0822345890410959
mlp,temperature,1,0.9499143835616438,0.09238395673726904,0.85,0.09526969178082192
mlp,temperature,1,0.7998715753424658,0.05405405405405406,0.95,0.05324272260273974
mlp,temperature,1,0.8998287671232876,0.0746907706945766,0.95,0.07221746575342466
mlp,temperature,1,0.9499143835616438,0.09238395673726904,0.95,0.09026113013698629
lr,none,2,0.7998715753424658,0.053251271073053254,0.75,0.09262628424657535
lr,none,2,0.8998287671232876,0.07944814462416747,0.75,0.09653253424657535
lr,none,2,0.9499143835616438,0.09373591707976565,0.75,0.1015625
lr,none,2,0.7998715753424658,0.053251271073053254,0.85,0.07261344178082192
lr,none,2,0.8998287671232876,0.07944814462416747,0.85,0.08651541095890412
lr,none,2,0.9499143835616438,0.09373591707976565,0.85,0.09655393835616438
lr,none,2,0.7998715753424658,0.053251271073053254,0.95,0.052600599315068504
lr,none,2,0.8998287671232876,0.07944814462416747,0.95,0.07649828767123289
lr,none,2,0.9499143835616438,0.09373591707976565,0.95,0.09154537671232876
lr,temperature,2,0.7998715753424658,0.053251271073053254,0.75,0.09262628424657535
lr,temperature,2,0.8998287671232876,0.07944814462416747,0.75,0.09653253424657535
lr,temperature,2,0.9499143835616438,0.09373591707976565,0.75,0.1015625
lr,temperature,2,0.7998715753424658,0.053251271073053254,0.85,0.07261344178082192
lr,temperature,2,0.8998287671232876,0.07944814462416747,0.85,0.08651541095890412
lr,temperature,2,0.9499143835616438,0.09373591707976565,0.85,0.09655393835616438
lr,temperature,2,0.7998715753424658,0.053251271073053254,0.95,0.052600599315068504
lr,temperature,2,0.8998287671232876,0.07944814462416747,0.95,0.07649828767123289
lr,temperature,2,0.9499143835616438,0.09373591707976565,0.95,0.09154537671232876
xgb,none,2,0.7998715753424658,0.04977254482204977,0.75,0.08984375
xgb,none,2,0.8998287671232876,0.07350142721217888,0.75,0.09118150684931507
xgb,none,2,0.9499143835616438,0.08765209553853087,0.75,0.0957833904109589
xgb,none,2,0.7998715753424658,0.04977254482204977,0.85,0.06983090753424658
xgb,none,2,0.8998287671232876,0.07350142721217888,0.85,0.08116438356164385
xgb,none,2,0.9499143835616438,0.08765209553853087,0.85,0.0907748287671233
xgb,none,2,0.7998715753424658,0.04977254482204977,0.95,0.049818065068493164
xgb,none,2,0.8998287671232876,0.07350142721217888,0.95,0.07114726027397261
xgb,none,2,0.9499143835616438,0.08765209553853087,0.95,0.08576626712328766
xgb,temperature,2,0.7998715753424658,0.04977254482204977,0.75,0.08984375
xgb,temperature,2,0.8998287671232876,0.07350142721217888,0.75,0.09118150684931507
xgb,temperature,2,0.9499143835616438,0.08765209553853087,0.75,0.0957833904109589
xgb,temperature,2,0.7998715753424658,0.04977254482204977,0.85,0.06983090753424658
xgb,temperature,2,0.8998287671232876,0.07350142721217888,0.85,0.08116438356164385
xgb,temperature,2,0.9499143835616438,0.08765209553853087,0.85,0.0907748287671233
xgb,temperature,2,0.7998715753424658,0.04977254482204977,0.95,0.049818065068493164
xgb,temperature,2,0.8998287671232876,0.07350142721217888,0.95,0.07114726027397261
xgb,temperature,2,0.9499143835616438,0.08765209553853087,0.95,0.08576626712328766
mlp,none,2,0.7998715753424658,0.05191329943805191,0.75,0.0915560787671233
mlp,none,2,0.8998287671232876,0.0780209324452902,0.75,0.09524828767123288
mlp,none,2,0.9499143835616438,0.09351059035601622,0.75,0.1013484589041096
mlp,none,2,0.7998715753424658,0.05191329943805191,0.85,0.07154323630136987
mlp,none,2,0.8998287671232876,0.0780209324452902,0.85,0.08523116438356165
mlp,none,2,0.9499143835616438,0.09351059035601622,0.85,0.09633989726027398
mlp,none,2,0.7998715753424658,0.05191329943805191,0.95,0.05153039383561645
mlp,none,2,0.8998287671232876,0.0780209324452902,0.95,0.07521404109589042
mlp,none,2,0.9499143835616438,0.09351059035601622,0.95,0.09133133561643836
mlp,temperature,2,0.7998715753424658,0.05191329943805191,0.75,0.0915560787671233
mlp,temperature,2,0.8998287671232876,0.0780209324452902,0.75,0.09524828767123288
mlp,temperature,2,0.9499143835616438,0.09351059035601622,0.75,0.1013484589041096
mlp,temperature,2,0.7998715753424658,0.05191329943805191,0.85,0.07154323630136987
mlp,temperature,2,0.8998287671232876,0.0780209324452902,0.85,0.08523116438356165
mlp,temperature,2,0.9499143835616438,0.09351059035601622,0.85,0.09633989726027398
mlp,temperature,2,0.7998715753424658,0.05191329943805191,0.95,0.05153039383561645
mlp,temperature,2,0.8998287671232876,0.0780209324452902,0.95,0.07521404109589042
mlp,temperature,2,0.9499143835616438,0.09351059035601622,0.95,0.09133133561643836
