group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
65-79,1554,0.09009009009009009,0.10017123287671233,0.8993608993608994,age_band,lr,temperature,1
80+,851,0.12220916568742655,0.10017123287671233,1.220002611306959,age_band,lr,temperature,1
F,2041,0.09946104850563449,0.10017123287671233,0.9929102961930008,sex,lr,temperature,1
M,2631,0.10072215887495249,0.10017123287671233,1.0054998424439703,sex,lr,temperature,1
Asian,128,0.0859375,0.10017123287671233,0.857905982905983,ethnicity_group,lr,temperature,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,lr,temperature,1
Hispanic,176,0.07386363636363637,0.10017123287671233,0.7373737373737375,ethnicity_group,lr,temperature,1
Other,975,0.13435897435897437,0.10017123287671233,1.3412930089853168,ethnicity_group,lr,temperature,1
White,2980,0.09093959731543624,0.10017123287671233,0.9078414501233294,ethnicity_group,lr,temperature,1
Medicaid,690,0.11014492753623188,0.10017123287671233,1.0995664560881953,insurance_group,lr,temperature,1
Medicare,2496,0.10857371794871795,0.10017123287671233,1.0838812184966031,insurance_group,lr,temperature,1
Other,1486,0.08142664872139974,0.10017123287671233,0.8128745786888453,insurance_group,lr,temperature,1
18-44,637,0.09262166405023547,0.10017123287671233,0.9246333641938037,age_band,xgb,none,1
45-64,1630,0.09754601226993866,0.10017123287671233,0.9737926694981911,age_band,xgb,none,1
65-79,1554,0.09974259974259975,0.10017123287671233,0.9957209957209958,age_band,xgb,none,1
80+,851,0.11163337250293771,0.10017123287671233,1.1144254622515493,age_band,xgb,none,1
F,2041,0.10436060754532092,0.10017123287671233,1.0418221334438875,sex,xgb,none,1
M,2631,0.09692132269099202,0.10017123287671233,0.9675564521630656,sex,xgb,none,1
Asian,128,0.0703125,0.10017123287671233,0.701923076923077,ethnicity_group,xgb,none,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,xgb,none,1
Hispanic,176,0.07386363636363637,0.10017123287671233,0.7373737373737375,ethnicity_group,xgb,none,1
Other,975,0.12615384615384614,0.10017123287671233,1.2593819855358317,ethnicity_group,xgb,none,1
White,2980,0.09429530201342282,0.10017123287671233,0.9413411346297252,ethnicity_group,xgb,none,1
Medicaid,690,0.10579710144927536,0.10017123287671233,1.0561625170320823,insurance_group,xgb,none,1
Medicare,2496,0.10616987179487179,0.10017123287671233,1.0598838483453867,insurance_group,xgb,none,1
Other,1486,0.08748317631224764,0.10017123287671233,0.8733363242111559,insurance_group,xgb,none,1
18-44,637,0.09262166405023547,0.10017123287671233,0.9246333641938037,age_band,xgb,temperature,1
45-64,1630,0.09754601226993866,0.10017123287671233,0.9737926694981911,age_band,xgb,temperature,1
65-79,1554,0.09974259974259975,0.10017123287671233,0.9957209957209958,age_band,xgb,temperature,1
80+,851,0.11163337250293771,0.10017123287671233,1.1144254622515493,age_band,xgb,temperature,1
F,2041,0.10436060754532092,0.10017123287671233,1.0418221334438875,sex,xgb,temperature,1
M,2631,0.09692132269099202,0.10017123287671233,0.9675564521630656,sex,xgb,temperature,1
Asian,128,0.0703125,0.10017123287671233,0.701923076923077,ethnicity_group,xgb,temperature,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,xgb,temperature,1
Hispanic,176,0.07386363636363637,0.10017123287671233,0.7373737373737375,ethnicity_group,xgb,temperature,1
Other,975,0.12615384615384614,0.10017123287671233,1.2593819855358317,ethnicity_group,xgb,temperature,1
White,2980,0.09429530201342282,0.10017123287671233,0.9413411346297252,ethnicity_group,xgb,temperature,1
Medicaid,690,0.10579710144927536,0.10017123287671233,1.0561625170320823,insurance_group,xgb,temperature,1
Medicare,2496,0.10616987179487179,0.10017123287671233,1.0598838483453867,insurance_group,xgb,temperature,1
Other,1486,0.08748317631224764,0.10017123287671233,0.8733363242111559,insurance_group,xgb,temperature,1
18-44,637,0.09262166405023547,0.10017123287671233,0.9246333641938037,age_band,mlp,none,1
45-64,1630,0.09386503067484663,0.10017123287671233,0.93704577630958,age_band,mlp,none,1
65-79,1554,0.10038610038610038,0.10017123287671233,1.002145002145002,age_band,mlp,none,1
